"item-img-box href","item-img src","h5","badge","ms-1","col-6","col-6 2","col-6 3","col-6 4","dropdown-toggle","text-primary","label","text-end","label 2","text-end 2","label 3","text-end 3","label 4","text-end 4","label 5","text-end 5","label 6","text-end 6","label 7","text-end 7","text-muted","price","price-top-label","price-top-label 2","price 3","list-inline-item","btn","col-12","col-12 2","col-12 3","col-6 5","col-6 6"
"https://darmas.de/fahrzeugmarkt/details/6737593ce9b9ca11224fcf32","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/f89c3c857bd2893f0fe1077674ef49518_ori_small.jpg","Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","New vehicle","Available immediately","Hybrid (petrol/electric)","Automatic","158 kW (215 hp)","Black / Abyss Black","Monthly rate","Financing details","36 months at","420 €","Vehicle price","49,990 €","down payment","9,998 €","Net loan amount","39,992 €","Final installment","31,720 €","Effective annual interest rate","6.49%","Nominal interest rate (debited)","6.34%","All financing rates are non-binding, exemplary financing calculations from Santander Bank, a division of Santander Consumer Bank AG, Santander-Platz 1, 41061 Mönchengladbach. This is also a representative example according to Section 6aPAngV (German Federal Act on the Use of Private Loans). Creditworthiness is assumed. All prices include statutory VAT. Subject to change and errors.","420","Purchase price","1","49,990","2105463370","Remember","Fuel consumption (combined): 7 l/100km;","CO₂ class: F;","158 g/km CO₂;","",""
"https://darmas.de/fahrzeugmarkt/details/67ceb7af1e682b2fa5180a85","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/670e5e9a5a784adcc2a59188/cb56f10f19fdf4dcea5b7102558ba8c2f4_ori_small.jpg","Jeep COMPASS 1.3 PHEV S Plug-In Hybrid 4WD Automatic","Used vehicle","Available immediately","Hybrid (petrol/electric)","Automatic","177 kW (241 hp)","Black / Black Clear Coat","Monthly rate","Financing details","36 months at","232 €","Vehicle price","24,990 €","down payment","4,998 €","Net loan amount","19,992 €","Final installment","14,994 €","Effective annual interest rate","6.49%","Nominal interest rate (debited)","6.34%","All financing rates are non-binding, exemplary financing calculations from Santander Bank, a division of Santander Consumer Bank AG, Santander-Platz 1, 41061 Mönchengladbach. This is also a representative example according to Section 6aPAngV (German Federal Act on the Use of Private Loans). Creditworthiness is assumed. All prices include statutory VAT. Subject to change and errors.","232","Purchase price","1","24,990","ZACPJFEW4NPR93531","Remember","","","","48,600 km","04/2022"
"https://darmas.de/fahrzeugmarkt/details/67375e3fe9b9ca11225e9e61","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/864a66741548449148be71082e3586891_ori_small.jpg","Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Daily registration","Available immediately","Hybrid (petrol/electric)","Automatic","158 kW (215 hp)","Gray / Cyber ​​Sage","Monthly rate","Financing details","36 months at","588 €","Vehicle price","49,880 €","down payment","9,976 €","Net loan amount","39,904 €","Final installment","24,940 €","Effective annual interest rate","6.49%","Nominal interest rate (debited)","6.34%","All financing rates are non-binding, exemplary financing calculations from Santander Bank, a division of Santander Consumer Bank AG, Santander-Platz 1, 41061 Mönchengladbach. This is also a representative example according to Section 6aPAngV (German Federal Act on the Use of Private Loans). Creditworthiness is assumed. All prices include statutory VAT. Subject to change and errors.","588","Purchase price","1","49,880","2105463392","Remember","Fuel consumption (combined): 7 l/100km;","CO₂ class: F;","158 g/km CO₂;","10 km","01/2025"
"https://darmas.de/fahrzeugmarkt/details/67375da3e9b9ca11225dfa1c","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/b2e6496cfd10c52cc9934ed9cf1693d4f_ori_small.jpg","Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Daily registration","Available immediately","Hybrid (petrol/electric)","Automatic","158 kW (215 hp)","Grey / Magnetic Grey","Monthly rate","Financing details","36 months at","588 €","Vehicle price","49,880 €","down payment","9,976 €","Net loan amount","39,904 €","Final installment","24,940 €","Effective annual interest rate","6.49%","Nominal interest rate (debited)","6.34%","All financing rates are non-binding, exemplary financing calculations from Santander Bank, a division of Santander Consumer Bank AG, Santander-Platz 1, 41061 Mönchengladbach. This is also a representative example according to Section 6aPAngV (German Federal Act on the Use of Private Loans). Creditworthiness is assumed. All prices include statutory VAT. Subject to change and errors.","588","Purchase price","1","49,880","2105463386","Remember","Fuel consumption (combined): 7 l/100km;","CO₂ class: F;","158 g/km CO₂;","10 km","01/2025"
"https://darmas.de/fahrzeugmarkt/details/67375d17e9b9ca11225cadf1","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/864a66741548449148be71082e3586891_ori_small.jpg","Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","New vehicle","Available immediately","Hybrid (petrol/electric)","Automatic","158 kW (215 hp)","Gray / Cyber ​​Sage","Monthly rate","Financing details","36 months at","441 €","Vehicle price","50,990 €","down payment","10,198 €","Net loan amount","40,792 €","Final installment","31,820 €","Effective annual interest rate","6.49%","Nominal interest rate (debited)","6.34%","All financing rates are non-binding, exemplary financing calculations from Santander Bank, a division of Santander Consumer Bank AG, Santander-Platz 1, 41061 Mönchengladbach. This is also a representative example according to Section 6aPAngV (German Federal Act on the Use of Private Loans). Creditworthiness is assumed. All prices include statutory VAT. Subject to change and errors.","441","Purchase price","1","50,990","2105463391","Remember","Fuel consumption (combined): 7 l/100km;","CO₂ class: F;","158 g/km CO₂;","",""
"https://darmas.de/fahrzeugmarkt/details/67375cf7e9b9ca11225c0d6d","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/864a66741548449148be71082e3586891_ori_small.jpg","Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","New vehicle","Available immediately","Hybrid (petrol/electric)","Automatic","158 kW (215 hp)","Gray / Cyber ​​Sage","Monthly rate","Financing details","36 months at","441 €","Vehicle price","50,990 €","down payment","10,198 €","Net loan amount","40,792 €","Final installment","31,820 €","Effective annual interest rate","6.49%","Nominal interest rate (debited)","6.34%","All financing rates are non-binding, exemplary financing calculations from Santander Bank, a division of Santander Consumer Bank AG, Santander-Platz 1, 41061 Mönchengladbach. This is also a representative example according to Section 6aPAngV (German Federal Act on the Use of Private Loans). Creditworthiness is assumed. All prices include statutory VAT. Subject to change and errors.","441","Purchase price","1","50,990","2105463390","Remember","Fuel consumption (combined): 7 l/100km;","CO₂ class: F;","158 g/km CO₂;","",""
"https://darmas.de/fahrzeugmarkt/details/67375c9ae9b9ca11225accb0","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/f89c3c857bd2893f0fe1077674ef49518_ori_small.jpg","Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","New vehicle","Available immediately","Hybrid (petrol/electric)","Automatic","158 kW (215 hp)","Black / Abyss Black","Monthly rate","Financing details","36 months at","420 €","Vehicle price","49,990 €","down payment","9,998 €","Net loan amount","39,992 €","Final installment","31,720 €","Effective annual interest rate","6.49%","Nominal interest rate (debited)","6.34%","All financing rates are non-binding, exemplary financing calculations from Santander Bank, a division of Santander Consumer Bank AG, Santander-Platz 1, 41061 Mönchengladbach. This is also a representative example according to Section 6aPAngV (German Federal Act on the Use of Private Loans). Creditworthiness is assumed. All prices include statutory VAT. Subject to change and errors.","420","Purchase price","1","49,990","2105463371","Remember","Fuel consumption (combined): 7 l/100km;","CO₂ class: F;","158 g/km CO₂;","",""
"https://darmas.de/fahrzeugmarkt/details/67375c4ce9b9ca1122598e66","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/864a66741548449148be71082e3586891_ori_small.jpg","Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","New vehicle","Available immediately","Hybrid (petrol/electric)","Automatic","158 kW (215 hp)","Gray / Cyber ​​Sage","Monthly rate","Financing details","36 months at","441 €","Vehicle price","50,990 €","down payment","10,198 €","Net loan amount","40,792 €","Final installment","31,820 €","Effective annual interest rate","6.49%","Nominal interest rate (debited)","6.34%","All financing rates are non-binding, exemplary financing calculations from Santander Bank, a division of Santander Consumer Bank AG, Santander-Platz 1, 41061 Mönchengladbach. This is also a representative example according to Section 6aPAngV (German Federal Act on the Use of Private Loans). Creditworthiness is assumed. All prices include statutory VAT. Subject to change and errors.","441","Purchase price","1","50,990","2105463394","Remember","Fuel consumption (combined): 7 l/100km;","CO₂ class: F;","158 g/km CO₂;","",""
"https://darmas.de/fahrzeugmarkt/details/67375c18e9b9ca112258efd7","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/f89c3c857bd2893f0fe1077674ef49518_ori_small.jpg","Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","New vehicle","Available immediately","Hybrid (petrol/electric)","Automatic","158 kW (215 hp)","Black / Abyss Black","Monthly rate","Financing details","36 months at","420 €","Vehicle price","49,990 €","down payment","9,998 €","Net loan amount","39,992 €","Final installment","31,720 €","Effective annual interest rate","6.49%","Nominal interest rate (debited)","6.34%","All financing rates are non-binding, exemplary financing calculations from Santander Bank, a division of Santander Consumer Bank AG, Santander-Platz 1, 41061 Mönchengladbach. This is also a representative example according to Section 6aPAngV (German Federal Act on the Use of Private Loans). Creditworthiness is assumed. All prices include statutory VAT. Subject to change and errors.","420","Purchase price","1","49,990","2105463374","Remember","Fuel consumption (combined): 7 l/100km;","CO₂ class: F;","158 g/km CO₂;","",""
"https://darmas.de/fahrzeugmarkt/details/67375bcae9b9ca112258512e","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/b2e6496cfd10c52cc9934ed9cf1693d4f_ori_small.jpg","Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","New vehicle","Available immediately","Hybrid (petrol/electric)","Automatic","158 kW (215 hp)","Grey / Magnetic Grey","Monthly rate","Financing details","36 months at","420 €","Vehicle price","49,990 €","down payment","9,998 €","Net loan amount","39,992 €","Final installment","31,720 €","Effective annual interest rate","6.49%","Nominal interest rate (debited)","6.34%","All financing rates are non-binding, exemplary financing calculations from Santander Bank, a division of Santander Consumer Bank AG, Santander-Platz 1, 41061 Mönchengladbach. This is also a representative example according to Section 6aPAngV (German Federal Act on the Use of Private Loans). Creditworthiness is assumed. All prices include statutory VAT. Subject to change and errors.","420","Purchase price","1","49,990","2105463383","Remember","Fuel consumption (combined): 7 l/100km;","CO₂ class: F;","158 g/km CO₂;","",""
